calculator_name,page_title,meta_description,title_length,meta_description_length,canonical_path,title_has_brand,description_has_brand,title_has_pipe_or_dash,has_h1,h1_text,h1_length,title_equals_h1,has_schema_jsonld,schema_types,has_breadcrumb_schema,has_faq_schema,has_softwareapp_schema,word_count_estimate,issues
Distribution Calculator,"Distribution Calculator | Normal, t, Chi-Square and F Values | CalcHowMuch","Calculate CDF, PDF, and quantile values for normal, Student's t, chi-square, and F distributions in a light answer-first statistics layout.",74,139,/math/statistics/distribution/,true,false,true,true,Distribution Calculator,23,false,true,WebSite;Organization;WebPage;SoftwareApplication;FAQPage;BreadcrumbList,true,true,true,760,TITLE_TOO_LONG
Hypothesis Testing,"Hypothesis Testing | t-Tests, Chi-Square and p-Value Checks | CalcHowMuch","Run one-sample, two-sample, paired, and chi-square hypothesis tests with p-values, intervals, and effect sizes in a light answer-first statistics layout.",73,153,/math/statistics/hypothesis-testing/,true,false,true,true,Hypothesis Testing,18,false,true,WebSite;Organization;WebPage;SoftwareApplication;FAQPage;BreadcrumbList,true,true,true,861,TITLE_TOO_LONG
Regression Analysis,"Regression Analysis | Linear, Polynomial and Exponential Fit | CalcHowMuch","Fit linear, polynomial, exponential, and logarithmic models with goodness-of-fit metrics in a light answer-first statistics layout.",74,131,/math/statistics/regression-analysis/,true,false,true,true,Regression Analysis,19,false,true,WebSite;Organization;WebPage;SoftwareApplication;FAQPage;BreadcrumbList,true,true,true,768,TITLE_TOO_LONG
Inverse Trig Functions Calculator,"Inverse Trig Functions Calculator | arcsin, arccos and arctan | CalcHowMuch","Find arcsin, arccos, and arctan principal values plus every matching solution in a custom degree or radian interval with a light answer-first trig layout.",75,154,/math/trigonometry/inverse-trig/,true,false,true,true,Inverse Trig Functions Calculator,33,false,true,WebSite;Organization;WebPage;SoftwareApplication;FAQPage;BreadcrumbList,true,true,true,811,TITLE_TOO_LONG
Law of Sines and Cosines Calculator,Law of Sines and Cosines Calculator | Triangle Solver | CalcHowMuch,"Solve missing triangle sides, angles, and area with an answer-first Law of Sines and Cosines calculator that recommends the correct trig law and shows a live diagram.",67,166,/math/trigonometry/law-of-sines-cosines/,true,false,true,true,Law of Sines and Cosines Calculator,35,false,true,WebSite;Organization;WebPage;SoftwareApplication;FAQPage;BreadcrumbList,true,true,true,957,TITLE_TOO_LONG;DESC_TOO_LONG
Trigonometric Functions Calculator,"Trigonometric Functions Calculator | sin, cos, tan and Reciprocals | CalcHowMuch","Check sin, cos, tan, sec, csc, and cot at one angle with special-angle labels, graph controls, worked examples, and a light answer-first trig layout.",80,149,/math/trigonometry/trig-functions/,true,false,true,true,Trigonometric Functions Calculator,34,false,true,WebSite;Organization;WebPage;SoftwareApplication;FAQPage;BreadcrumbList,true,true,true,922,TITLE_TOO_LONG
Unit Circle Calculator,"Unit Circle Calculator | Angles, Quadrants and Trig Values | CalcHowMuch","Explore unit circle angles in degrees or radians with quadrant, reference angle, and exact sine, cosine, and tangent values.",72,124,/math/trigonometry/unit-circle/,true,false,true,true,Unit Circle Calculator,22,false,true,WebSite;Organization;WebPage;SoftwareApplication;FAQPage;BreadcrumbList,true,true,true,809,TITLE_TOO_LONG
Z-Score Calculator,Z-Score Calculator | Standard Score and Interpretation | CalcHowMuch,Convert a raw value into a z-score and plain-language interpretation in a light answer-first statistics layout built for quick standard-score checks.,68,149,/math/z-score/,true,false,true,true,Z-Score Calculator,18,false,true,WebSite;Organization;WebPage;SoftwareApplication;FAQPage;BreadcrumbList,true,true,true,651,TITLE_TOO_LONG
Percent to Fraction & Decimal Converter,Percent to Fraction and Decimal Calculator | Convert %,Convert a percentage into a decimal and simplified fraction using the standard divide-by-100 method.,54,100,/percentage-calculators/percent-to-fraction-decimal-calculator/,false,false,true,true,Percent to Fraction & Decimal Converter,39,false,true,SoftwareApplication;BreadcrumbList,true,false,true,911,DESC_TOO_SHORT
Percentage Composition Calculator,Percentage Composition Calculator | Share of Total,Calculate each item's share of a total and the remainder percentage from a known or calculated total.,50,101,/percentage-calculators/percentage-composition-calculator/,false,false,true,true,Percentage Composition Calculator,33,false,true,SoftwareApplication;BreadcrumbList,true,false,true,824,DESC_TOO_SHORT
Percentage Decrease Calculator,Percentage Decrease Calculator | Drop from Original,Calculate how much a value decreased from its original amount using the standard percentage drop formula.,51,105,/percentage-calculators/percentage-decrease-calculator/,false,true,true,true,Percentage Decrease Calculator,30,false,true,SoftwareApplication;BreadcrumbList,true,false,true,794,DESC_TOO_SHORT
Percentage Difference Calculator,Percentage Difference Calculator | Compare Two Values,Calculate the symmetric percentage difference between two values using their average as the baseline.,53,101,/percentage-calculators/percentage-difference-calculator/,false,false,true,true,Percentage Difference Calculator,32,false,true,SoftwareApplication;BreadcrumbList,true,false,true,806,DESC_TOO_SHORT
What Percent Is X of Y,What Percent Is X of Y | Calculate How Much Online Calculator,"What Percent Is X of Y calculator with fast inputs and clear results. Calculate How Much provides explanations, examples, and assumptions to help you plan confidently.",61,167,/percentage-calculators/percentage-finder-calculator/,true,true,true,true,What Percent Is X of Y,22,false,true,SoftwareApplication;BreadcrumbList,true,false,true,1178,TITLE_TOO_LONG;DESC_TOO_LONG
Percentage Increase Calculator,Percentage Increase Calculator | Growth from Original,Calculate how much a value increased from its original amount using the standard percentage growth formula.,53,107,/percentage-calculators/percentage-increase-calculator/,false,true,true,true,Percentage Increase Calculator,30,false,true,SoftwareApplication;BreadcrumbList,true,false,true,779,DESC_TOO_SHORT
Find Percentage of a Number Calculator,Find Percentage of a Number Calculator – CalcHowMuch,"Calculate what X% of Y is instantly. Use our free Find Percentage of a Number calculator for fast, accurate results.",52,116,/percentage-calculators/percentage-of-a-number-calculator/,true,false,false,true,Find Percentage of a Number Calculator,38,false,true,SoftwareApplication;BreadcrumbList,true,false,true,693,DESC_TOO_SHORT
Reverse Percentage,Reverse Percentage | Calculate How Much Online Calculator,"Reverse Percentage calculator with fast inputs and clear results. Calculate How Much provides explanations, examples, and assumptions to help you plan confidently.",57,163,/percentage-calculators/reverse-percentage-calculator/,true,true,true,true,Reverse Percentage,18,false,true,SoftwareApplication;BreadcrumbList,true,false,true,898,DESC_TOO_LONG
Pricing Calculators,"Pricing Calculators | Discount, Margin, Markup and Commission","Browse pricing calculators for discount, markup, margin, and commission with the shared answer-first shell.",61,107,/pricing-calculators/,false,false,true,true,Pricing Calculators,19,false,true,SoftwareApplication;BreadcrumbList,true,false,true,79,TITLE_TOO_LONG;DESC_TOO_SHORT;LOW_WORD_COUNT
Discount Calculator,Discount Calculator | Sale Price and Savings,Calculate the sale price after a percentage discount and see exactly how much you save.,44,87,/pricing-calculators/discount-calculator/,false,false,true,true,Discount Calculator,19,false,true,SoftwareApplication;BreadcrumbList,true,false,true,446,DESC_TOO_SHORT
Markup Calculator,Markup Calculator | Cost to Selling Price,"Calculate selling price from cost and markup, or find markup percentage from cost and price.",41,92,/pricing-calculators/markup-calculator/,false,false,true,true,Markup Calculator,17,false,true,SoftwareApplication;BreadcrumbList,true,false,true,525,DESC_TOO_SHORT
Salary Calculators,"Salary Calculators | Pay Conversion, Overtime, Bonus and Raise Tools","Explore salary calculators for hourly to salary conversion, annual and monthly pay, overtime, raises, bonuses, and commission estimates.",68,136,/salary-calculators/,false,false,true,true,Salary Calculators,18,false,true,WebSite;Organization;CollectionPage;SoftwareApplication;BreadcrumbList,true,false,true,456,TITLE_TOO_LONG
Annual to Monthly Salary Calculator,Annual to Monthly Salary Calculator | Convert Yearly Pay to Monthly,"Convert annual salary into monthly pay, with optional biweekly and weekly estimates based on your yearly income.",67,112,/salary-calculators/annual-to-monthly-salary-calculator/,false,false,true,true,Annual to Monthly Salary Calculator,35,false,true,WebSite;Organization;WebPage;SoftwareApplication;FAQPage;BreadcrumbList,true,true,true,399,TITLE_TOO_LONG;DESC_TOO_SHORT;LOW_WORD_COUNT
Bonus Calculator,Bonus Calculator | Calculate Bonus as Amount or Percentage of Salary,"Calculate a bonus as a percentage of salary or as a flat amount, and estimate total compensation.",68,97,/salary-calculators/bonus-calculator/,false,false,true,true,Bonus Calculator,16,false,true,WebSite;Organization;WebPage;SoftwareApplication;FAQPage;BreadcrumbList,true,true,true,441,TITLE_TOO_LONG;DESC_TOO_SHORT
Commission Calculator,Commission Calculator | Calculate Earnings From Sales Commission,"Calculate commission earnings from sales and commission rate, with optional total earnings when base pay is included.",64,117,/salary-calculators/commission-calculator/,false,false,true,true,Commission Calculator,21,false,true,WebSite;Organization;WebPage;SoftwareApplication;FAQPage;BreadcrumbList,true,true,true,477,TITLE_TOO_LONG;DESC_TOO_SHORT
Hourly to Salary Calculator,Hourly to Salary Calculator | Convert Hourly Pay to Annual Salary,"Convert an hourly wage into annual salary, monthly pay, biweekly pay, and weekly pay using your hours worked and weeks per year.",65,128,/salary-calculators/hourly-to-salary-calculator/,false,false,true,true,Hourly to Salary Calculator,27,false,true,WebSite;Organization;WebPage;SoftwareApplication;FAQPage;BreadcrumbList,true,true,true,439,TITLE_TOO_LONG
Monthly to Annual Salary Calculator,Monthly to Annual Salary Calculator | Convert Monthly Pay to Yearly Salary,"Convert monthly salary into annual pay, with optional biweekly and weekly estimates based on your monthly income.",74,113,/salary-calculators/monthly-to-annual-salary-calculator/,false,false,true,true,Monthly to Annual Salary Calculator,35,false,true,WebSite;Organization;WebPage;SoftwareApplication;FAQPage;BreadcrumbList,true,true,true,407,TITLE_TOO_LONG;DESC_TOO_SHORT
Overtime Pay Calculator,Overtime Pay Calculator | Estimate Extra Pay From Overtime Hours,"Estimate overtime pay from your hourly rate, overtime hours, and overtime multiplier, with optional total-pay output.",64,117,/salary-calculators/overtime-pay-calculator/,false,false,true,true,Overtime Pay Calculator,23,false,true,WebSite;Organization;WebPage;SoftwareApplication;FAQPage;BreadcrumbList,true,true,true,456,TITLE_TOO_LONG;DESC_TOO_SHORT
Raise Calculator,Raise Calculator | Calculate New Salary After a Pay Raise,Calculate a new salary after a raise using either a percentage increase or a flat raise amount.,57,95,/salary-calculators/raise-calculator/,false,false,true,true,Raise Calculator,16,false,true,WebSite;Organization;WebPage;SoftwareApplication;FAQPage;BreadcrumbList,true,true,true,435,DESC_TOO_SHORT
Salary Calculator,"Salary Calculator | Convert Hourly, Daily, Weekly, Monthly and Annual Pay","Convert a salary or pay rate across hourly, daily, weekly, biweekly, monthly, and annual amounts using your work schedule assumptions.",73,134,/salary-calculators/salary-calculator/,false,false,true,true,Salary Calculator,17,false,true,WebSite;Organization;WebPage;SoftwareApplication;FAQPage;BreadcrumbList,true,true,true,567,TITLE_TOO_LONG
Salary to Hourly Calculator,Salary to Hourly Calculator | Convert Annual Salary to Hourly Pay,"Convert annual salary into hourly pay, weekly pay, biweekly pay, and monthly pay using your hours worked and weeks per year.",65,124,/salary-calculators/salary-to-hourly-calculator/,false,false,true,true,Salary to Hourly Calculator,27,false,true,WebSite;Organization;WebPage;SoftwareApplication;FAQPage;BreadcrumbList,true,true,true,453,TITLE_TOO_LONG
Weekly Pay Calculator,Weekly Pay Calculator | Estimate Weekly Earnings From Hours and Rate,"Estimate weekly pay from your hourly rate and hours worked, with optional support for regular and overtime hour splits.",68,119,/salary-calculators/weekly-pay-calculator/,false,false,true,true,Weekly Pay Calculator,21,false,true,WebSite;Organization;WebPage;SoftwareApplication;FAQPage;BreadcrumbList,true,true,true,467,TITLE_TOO_LONG;DESC_TOO_SHORT
Age Calculator,"Age Calculator | Years, Months and Days","Calculate exact age in years, months, and days from a date of birth and an optional as-of date.",39,95,/time-and-date/age-calculator/,false,false,true,true,Age Calculator,14,false,true,SoftwareApplication;BreadcrumbList,true,false,true,948,DESC_TOO_SHORT
Days Until a Date Calculator,Days Until a Date Calculator | Count Days to Any Date,Count how many days remain until a future date or how many days have passed since a past date.,53,94,/time-and-date/days-until-a-date-calculator/,false,false,true,true,Days Until a Date Calculator,28,false,true,SoftwareApplication;BreadcrumbList,true,false,true,623,DESC_TOO_SHORT
Energy-Based Nap Selector,"Energy-Based Nap Selector | Quick, Strong or Full","Choose Quick, Strong, or Full to get a recommended nap length, wake-up time, and practical alternatives.",49,104,/time-and-date/energy-based-nap-selector/,false,false,true,true,Energy-Based Nap Selector,25,false,true,SoftwareApplication;BreadcrumbList,true,false,true,702,DESC_TOO_SHORT
Nap Time Calculator,"Nap Time Calculator | Quick, Power or Afternoon Nap",Choose a nap type and start time to get a suggested wake-up time with an optional wake buffer.,51,94,/time-and-date/nap-time-calculator/,false,false,true,true,Nap Time Calculator,19,false,true,SoftwareApplication;BreadcrumbList,true,false,true,640,DESC_TOO_SHORT
Overtime Hours Calculator,"Overtime Hours Calculator | Daily, Weekly and Night","Calculate regular and overtime hours using daily or weekly limits, split shifts, rounding, and night-hour tracking.",51,115,/time-and-date/overtime-hours-calculator/,false,false,true,true,Overtime Hours Calculator,25,false,true,SoftwareApplication;BreadcrumbList,true,false,true,965,DESC_TOO_SHORT
Power Nap Calculator,Power Nap Calculator | Best Wake-Up Times,"Compare 10, 20, 30, 60, and 90-minute nap options and get wake-up times for each one.",41,85,/time-and-date/power-nap-calculator/,false,false,true,true,Power Nap Calculator,20,false,true,SoftwareApplication;BreadcrumbList,true,false,true,768,DESC_TOO_SHORT
Sleep Time Calculator,Sleep Time Calculator | Bedtime and Wake-Up Cycles,Find bedtime or wake-up times based on 90-minute sleep cycles and a fall-asleep buffer.,50,87,/time-and-date/sleep-time-calculator/,false,false,true,true,Sleep Time Calculator,21,false,true,SoftwareApplication;BreadcrumbList,true,false,true,804,DESC_TOO_SHORT
Time Between Two Dates Calculator,"Time Between Two Dates Calculator | Days, Months & Business Days","Find days, weeks, months, business days, and exact hours between two dates. Use date-only or date-time mode, inclusive counting, and copy-ready summaries.",64,154,/time-and-date/time-between-two-dates-calculator/,false,false,true,true,Time Between Two Dates Calculator,33,false,true,SoftwareApplication;BreadcrumbList,true,false,true,703,TITLE_TOO_LONG
Wake-Up Time Calculator,Wake-Up Time Calculator | Sleep Cycle Wake Times,"Find wake-up times based on 90-minute sleep cycles and compare 4, 5, or 6 cycle options.",48,88,/time-and-date/wake-up-time-calculator/,false,false,true,true,Wake-Up Time Calculator,23,false,true,SoftwareApplication;BreadcrumbList,true,false,true,735,DESC_TOO_SHORT
Work Hours Calculator,"Work Hours Calculator | Shifts, Breaks and Totals","Calculate single, split, or weekly work hours, subtract unpaid breaks, and view totals in HH:MM and decimal hours.",49,114,/time-and-date/work-hours-calculator/,false,false,true,true,Work Hours Calculator,21,false,true,SoftwareApplication;BreadcrumbList,true,false,true,720,DESC_TOO_SHORT
